"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,2019
"2",-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2019
"3",0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2019
"4",1,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,2019
"5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019
"6",-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2019
"7",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,-1,2019
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2019
"9",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2019
